,salary,forecast
2011-07-01,23598.0,
2011-08-01,23051.0,
2011-09-01,23468.0,
2011-10-01,23602.0,
2011-11-01,24296.0,
2011-12-01,32809.0,
2012-01-01,23746.0,
2012-02-01,24036.0,
2012-03-01,25487.0,
2012-04-01,25800.0,
2012-05-01,26385.0,
2012-06-01,27494.0,
2012-07-01,26684.0,
2012-08-01,25718.0,
2012-09-01,25996.0,
2012-10-01,26803.0,
2012-11-01,27448.0,
2012-12-01,36450.0,
2013-01-01,26840.0,
2013-02-01,26620.0,
2013-03-01,28693.0,
2013-04-01,30026.0,
2013-05-01,29723.0,
2013-06-01,30986.0,
2013-07-01,30229.0,
2013-08-01,29226.0,
2013-09-01,29346.0,
2013-10-01,30069.0,
2013-11-01,30290.0,
2013-12-01,39648.0,
2014-01-01,29535.0,
2014-02-01,29255.0,
2014-03-01,31486.0,
2014-04-01,32947.0,
2014-05-01,32272.0,
2014-06-01,33726.0,
2014-07-01,32515.0,
2014-08-01,30763.0,
2014-09-01,31929.0,
2014-10-01,32439.0,
2014-11-01,32546.0,
2014-12-01,42136.0,
2015-01-01,30929.0,
2015-02-01,31325.0,
2015-03-01,32642.0,
2015-04-01,34377.0,
2015-05-01,34380.0,
2015-06-01,35395.0,
2015-07-01,33901.0,
2015-08-01,32176.0,
2015-09-01,32911.0,
2015-10-01,33357.0,
2015-11-01,33347.0,
2015-12-01,43408.0,
2016-01-01,32660.0,
2016-02-01,33873.0,
2016-03-01,35501.0,
2016-04-01,36497.0,
2016-05-01,37270.0,
2016-06-01,38447.0,
2016-07-01,35888.0,
2016-08-01,35405.0,
2016-09-01,35843.0,
2016-10-01,35749.0,
2016-11-01,36195.0,
2016-12-01,47554.0,
2017-01-01,34422.0,
2017-02-01,35497.0,
2017-03-01,37899.0,
2017-04-01,39225.0,
2017-05-01,39679.0,
2017-06-01,41454.0,
2017-07-01,38073.0,
2017-08-01,37099.0,
2017-09-01,38047.0,
2017-10-01,38333.0,
2017-11-01,38848.0,
2017-12-01,51197.0,
2018-01-01,39017.0,
2018-02-01,40443.0,
2018-03-01,42364.0,
2018-04-01,43381.0,
2018-05-01,44076.0,
2018-06-01,45848.0,
2018-07-01,42413.0,
2018-08-01,41364.0,
2018-09-01,41774.0,
2018-10-01,42332.0,
2018-11-01,42595.0,
2018-12-01,55569.0,
2019-01-01,42263.0,
2019-02-01,43062.0,
2019-03-01,46324.0,
2019-04-01,48030.0,
2019-05-01,47926.0,
2019-06-01,49348.0,
2019-07-01,46509.0,
2019-08-01,44961.0,
2019-09-01,45541.0,
2019-10-01,46549.0,
2019-11-01,46285.0,
2019-12-01,62239.0,
2020-01-01,46674.0,
2020-02-01,47257.0,
2020-03-01,50948.0,
2020-04-01,49306.0,
2020-05-01,50747.0,
2020-06-01,52123.0,
2020-07-01,50145.0,
2020-08-01,47649.0,
2020-09-01,49259.0,
2020-10-01,49539.0,
2020-11-01,49274.0,
2020-12-01,69278.0,
2021-01-01,49516.0,
2021-02-01,51229.0,
2021-03-01,55208.0,
2021-04-01,56614.0,
2021-05-01,56171.0,
2021-06-01,58782.0,58141.8434019519
2021-07-01,55170.0,56467.49195993426
2021-08-01,52355.0,53011.60494993746
2021-09-01,54687.0,54215.655299435915
2021-10-01,54649.0,54912.61790370863
2021-11-01,,54411.93362297516
2021-12-01,,75417.52849693123
2022-01-01,,54978.70975644609
2022-02-01,,56640.56452520591
2022-03-01,,60766.10218558352
2022-04-01,,61042.76729708705
2022-05-01,,61286.35704675728
2022-06-01,,63826.22578502587
2022-07-01,,60372.34675073748
2022-08-01,,57353.75628778892
2022-09-01,,59789.402750112095
2022-10-01,,59675.205469341774
2022-11-01,,59450.39244308566
2022-12-01,,82053.1969998998
2023-01-01,,59783.03771016974
2023-02-01,,61695.9333412056
2023-03-01,,66185.691738447
2023-04-01,,67482.90108937243
2023-05-01,,67149.38195316089
2023-06-01,,70047.74612283664
2023-07-01,,66045.48928007722
2023-08-01,,62842.59679583358
2023-09-01,,65478.12578500026
2023-10-01,,65416.31246184171
2023-11-01,,65152.99238157789
2023-12-01,,88918.98360904578
2024-01-01,,65730.13400341666
2024-02-01,,67648.4832801773
2024-03-01,,72341.96597344683
2024-04-01,,72892.36406353352
2024-05-01,,73027.08613907901
2024-06-01,,75942.47788979585
2024-07-01,,71962.06927719865
2024-08-01,,68547.52041608791
2024-09-01,,71315.03150569664
2024-10-01,,71199.93437408269
2024-11-01,,70939.78112523655
2024-12-01,,96313.42427137926
2025-01-01,,71368.9953426019
2025-02-01,,73504.08014749514
2025-03-01,,78552.57160500438
2025-04-01,,79817.57303520755
2025-05-01,,79558.22054578963
2025-06-01,,82783.00895082443
2025-07-01,,78339.62097792684
2025-08-01,,74723.2157968727
2025-09-01,,77689.36879457453
2025-10-01,,77607.90485004916
2025-11-01,,77315.59328326046
